dead_time,priority,state,address,interface,neighbor_id
00:00:37,1,FULL/DR,10.10.10.6,Ethernet0/0,10.10.10.6
00:00:38,1,FULL/BDR,10.10.10.1,Ethernet0/1,10.10.2.1
